level,m/C,MD/C
1.4,24.35,-0.0073763698506271284
1.4,25.22,-0.0073763698506271284
1.4,26.09,-0.0073763698506271284
1.4,26.96,-0.0073763698506271284
1.4,27.83,-0.0073763698506271284
1.4,28.700000000000003,-0.0073763698506271284
1.4,29.57,-0.0073763698506271284
1.4,30.43,-0.007376369851262016
1.4,31.299999999999997,-0.007376369847640626
1.4,32.17,-0.007376369810293323
1.4,33.04,-0.007376369577207211
1.4,33.91,-0.00737636850828334
1.4,34.78,-0.007376363968042482
1.4,35.65,-0.007376345414165605
1.4,36.52,-0.007376268926452643
1.4,37.39,-0.0073759688334618465
1.4,38.26,-0.007374888135247381
1.4,39.13,-0.007371520375011405
1.4,40.0,-0.00736260544511331
1.4,40.87,-0.007342415188947955
1.4,41.74,-0.0073023487134663955
1.4,42.61,-0.007230335014753395
1.4,42.84881166871812,-0.0072
1.4,43.47999999999999,-0.00709649462389497
1.4,44.35,-0.0068620362761564035
1.4,44.74983070010415,-0.0067
1.4,45.22,-0.006433981709789584
1.4,45.39439141560722,-0.0063
1.4,45.53599101302164,-0.0059
1.4,45.383901541820805,-0.0054
1.4,45.22,-0.0052210352567282
1.4,45.036924420839284,-0.005
1.4,44.56454292262707,-0.0046
1.4,44.35,-0.004411210473948475
1.4,44.0159163514127,-0.0041
1.4,43.480000000000004,-0.0037235499464036204
1.4,43.446807700763074,-0.0037
1.4,42.91563173130052,-0.0033
1.4,42.61,-0.002919868753606615
1.4,42.510202265780784,-0.0028
1.4,42.28639599908347,-0.0024
1.4,42.22836176472674,-0.002
1.4,42.25607270017434,-0.0015
1.4,42.299525395662194,-0.0011
1.4,42.3406937478441,-0.0007
1.4,42.39901337102562,-0.0002
1.4,42.49991012920972,0.0002
1.4,42.61,0.0005636257343465622
1.4,42.65504159722205,0.0007
1.4,42.852884729272326,0.0011
1.4,43.06732393078793,0.0015
1.4,43.29778546659665,0.002
1.4,43.48,0.002281900264168314
1.4,43.563139872274846,0.0024
1.4,43.869820693293775,0.0028
1.4,44.17413000544323,0.0033
1.4,44.35,0.0035697491432972184
1.4,44.42448895831968,0.0037
1.4,44.59558241729313,0.0041
1.4,44.719272403743346,0.0046
1.4,44.84414139691444,0.005
1.4,45.05870885454685,0.0054
1.4,45.22,0.005605144171683962
1.4,45.52732217296958,0.0059
1.4,46.09,0.006160785295562862
1.4,46.61182121892614,0.0063
1.4,46.959999999999994,0.00638369067091432
